"Freq [MHz]","dB(S(1,1)) []"
100,-0.307988019327298
100.222222222222,-0.313585287550705
100.444444444444,-0.319299661647721
100.666666666667,-0.325133982466518
100.888888888889,-0.331091170839269
101.111111111111,-0.337174230142988
101.333333333333,-0.343386248951451
101.555555555556,-0.34973040378166
101.777777777778,-0.356209961938491
102,-0.362828284461402
102.222222222222,-0.369588829177084
102.444444444444,-0.376495153862231
102.666666666667,-0.383550919520717
102.888888888889,-0.390759893779598
103.111111111111,-0.398125954408703
103.333333333333,-0.405653092968534
103.555555555556,-0.41334541859162
103.777777777778,-0.421207161902526
104,-0.429242679082016
104.222222222222,-0.43745645608107
104.444444444444,-0.445853112990666
104.666666666667,-0.454437408573538
104.888888888889,-0.463214244964333
105.111111111111,-0.47218867254488
105.333333333333,-0.481365895001547
105.555555555556,-0.49075127457197
105.777777777778,-0.500350337488719
106,-0.510168779627797
106.222222222222,-0.520212472370206
106.444444444444,-0.530487468685129
106.666666666667,-0.541000009443618
106.888888888889,-0.551756529972152
107.111111111111,-0.562763666855648
107.333333333333,-0.574028265000085
107.555555555556,-0.585557384965194
107.777777777778,-0.597358310578126
108,-0.609438556839585
108.222222222222,-0.621805878134168
108.444444444444,-0.634468276757348
108.666666666667,-0.647434011771976
108.888888888889,-0.660711608207642
109.111111111111,-0.674309866616951
109.333333333333,-0.688237873003186
109.555555555556,-0.702505009134572
109.777777777778,-0.717120963260871
110,-0.732095741248807
110.222222222222,-0.747439678153406
110.444444444444,-0.763163450243116
110.666666666667,-0.779278087497278
110.888888888889,-0.795794986595352
111.111111111111,-0.812725924418006
111.333333333333,-0.830083072081163
111.555555555556,-0.847879009524858
111.777777777778,-0.86612674067973
112,-0.88483970923498
112.222222222222,-0.904031815032526
112.444444444444,-0.923717431113248
112.666666666667,-0.943911421442246
112.888888888889,-0.964629159341226
113.111111111111,-0.985886546657286
113.333333333333,-1.00770003369873
113.555555555556,-1.03008663996984
113.777777777778,-1.05306397573776
114,-1.07665026446656
114.222222222222,-1.10086436615457
114.444444444444,-1.1257258016131
114.666666666667,-1.1512547777263
114.888888888889,-1.17747221373367
115.111111111111,-1.20439976857883
115.333333333333,-1.23205986937004
115.555555555556,-1.26047574100056
115.777777777778,-1.28967143697871
116,-1.31967187152079
116.222222222222,-1.35050285296196
116.444444444444,-1.38219111854376
116.666666666667,-1.41476437063975
116.888888888889,-1.44825131448429
117.111111111111,-1.48268169747309
117.333333333333,-1.51808635010849
117.555555555556,-1.55449722866634
117.777777777778,-1.59194745966663
118,-1.63047138623497
118.222222222222,-1.67010461644789
118.444444444444,-1.71088407376132
118.666666666667,-1.75284804962848
118.888888888889,-1.79603625842141
119.111111111111,-1.84048989477853
119.333333333333,-1.88625169351056
119.555555555556,-1.9333659922074
119.777777777778,-1.98187879670053
120,-2.03183784954841
120.222222222222,-2.0832927017273
120.444444444444,-2.13629478772605
120.666666666667,-2.19089750426194
120.888888888889,-2.24715629285518
121.111111111111,-2.30512872652289
121.333333333333,-2.36487460087911
121.555555555556,-2.42645602995679
121.777777777778,-2.48993754710065
122,-2.55538621131636
122.222222222222,-2.62287171950367
122.444444444444,-2.69246652504783
122.666666666667,-2.76424596329675
122.888888888889,-2.83828838451118
123.111111111111,-2.91467529494282
123.333333333333,-2.99349150677176
123.555555555556,-3.07482529772081
123.777777777778,-3.15876858126218
124,-3.24541708844261
124.222222222222,-3.33487056247796
124.444444444444,-3.42723296741069
124.666666666667,-3.52261271228406
124.888888888889,-3.62112289246977
125.111111111111,-3.72288154999293
125.333333333333,-3.82801195493357
125.555555555556,-3.9366429102521
125.777777777778,-4.04890908269043
126,-4.16495136274822
126.222222222222,-4.28491725712942
126.444444444444,-4.40896131750639
126.666666666667,-4.53724560996603
126.888888888889,-4.66994023009307
127.111111111111,-4.80722386932398
127.333333333333,-4.94928443898161
127.555555555556,-5.09631975929416
127.777777777778,-5.24853832172882
128,-5.40616013415381
128.222222222222,-5.56941765970635
128.444444444444,-5.73855686181954
128.666666666667,-5.91383836968036
128.888888888889,-6.0955387804971
129.111111111111,-6.28395211738899
129.333333333333,-6.47939146452991
129.555555555556,-6.68219080443787
129.777777777778,-6.89270708606719
130,-7.11132255670127
130.222222222222,-7.33844739562767
130.444444444444,-7.57452269326753
130.666666666667,-7.82002382587424
130.888888888889,-8.07546428311375
131.111111111111,-8.34140001372498
131.333333333333,-8.61843436282864
131.555555555556,-8.90722368287866
131.777777777778,-9.20848370791189
132,-9.52299678618687
132.222222222222,-9.85162006697141
132.444444444444,-10.1952947288193
132.666666666667,-10.5550563118886
132.888888888889,-10.9320461634799
133.111111111111,-11.3275239035599
133.333333333333,-11.7428806312347
133.555555555556,-12.179652266092
133.777777777778,-12.6395318520984
134,-13.1243786795129
134.222222222222,-13.6362204165085
134.444444444444,-14.1772415958737
134.666666666667,-14.7497469277551
134.888888888889,-15.3560795568824
135.111111111111,-15.9984601015311
135.333333333333,-16.6786881048881
135.555555555556,-17.397607391072
135.777777777778,-18.1541734746303
136,-18.943871984056
136.222222222222,-19.7561466149173
136.444444444444,-20.5705210198856
136.666666666667,-21.3515919334451
136.888888888889,-22.0447306076155
137.111111111111,-22.5776004476095
137.333333333333,-22.8749189095938
137.555555555556,-22.8872169848036
137.777777777778,-22.6163783936375
138,-22.1145631051898
138.222222222222,-21.4576065670007
138.444444444444,-20.7168830911592
138.666666666667,-19.9456175764474
138.888888888889,-19.1779959864438
139.111111111111,-18.4336298058658
139.333333333333,-17.7225169429609
139.555555555556,-17.0488272302709
139.777777777778,-16.4133959382077
140,-15.8152515884062
140.222222222222,-15.2525149180498
140.444444444444,-14.7229133959952
140.666666666667,-14.2240680018475
140.888888888889,-13.7536474065559
141.111111111111,-13.3094458613391
141.333333333333,-12.8894177329786
141.555555555556,-12.4916878491691
141.777777777778,-12.1145487639575
142,-11.7564513534307
142.222222222222,-11.4159924072132
142.444444444444,-11.0919012770027
142.666666666667,-10.7830267060051
142.888888888889,-10.4883244174241
143.111111111111,-10.2068457252581
143.333333333333,-9.93772725203843
143.555555555556,-9.68018173997919
143.777777777778,-9.4334898911377
144,-9.19699314884568
144.222222222222,-8.97008732507767
144.444444444444,-8.75221697954084
144.666666666667,-8.54287046192562
144.888888888889,-8.34157553650924
145.111111111111,-8.14789551673978
145.333333333333,-7.96142584576339
145.555555555556,-7.7817910666858
145.777777777778,-7.60864213348387
146,-7.44165401984961
146.222222222222,-7.28052358885974
146.444444444444,-7.12496769127232
146.666666666667,-6.97472146451602
146.888888888889,-6.82953680813205
147.111111111111,-6.68918101462053
147.333333333333,-6.55343553739639
147.555555555556,-6.42209487993493
147.777777777778,-6.29496559223418
148,-6.17186536248832
148.222222222222,-6.05262219339032
148.444444444444,-5.9370736538005
148.666666666667,-5.8250661976565
148.888888888889,-5.71645454298832
149.111111111111,-5.61110110475788
149.333333333333,-5.50887547598684
149.555555555556,-5.40965395228373
149.777777777778,-5.31331909544497
150,-5.21975933229768
150.222222222222,-5.12886858538126
150.444444444444,-5.04054593244298
150.666666666667,-4.95469529205216
150.888888888889,-4.87122513292889
151.111111111111,-4.79004820483814
151.333333333333,-4.71108128912579
151.555555555556,-4.63424496717176
151.777777777778,-4.55946340521103
152,-4.48666415412985
152.222222222222,-4.41577796298127
152.444444444444,-4.34673860508834
152.666666666667,-4.27948271571108
152.888888888889,-4.21394964035161
153.111111111111,-4.15008129285823
153.333333333333,-4.08782202256665
153.555555555556,-4.02711848978662
153.777777777778,-3.96791954900362
154,-3.91017613922201
154.222222222222,-3.85384118092543
154.444444444444,-3.79886947917617
154.666666666667,-3.7452176324154
154.888888888889,-3.69284394656323
155.111111111111,-3.64170835405075
155.333333333333,-3.59177233744606
155.555555555556,-3.54299885736405
155.777777777778,-3.49535228437363
156,-3.44879833463937
156.222222222222,-3.40330400905437
156.444444444444,-3.35883753563995
156.666666666667,-3.31536831500491
156.888888888889,-3.27286686867206
157.111111111111,-3.23130479009455
157.333333333333,-3.19065469819686
157.555555555556,-3.15089019328748
157.777777777778,-3.11198581520103
158,-3.07391700353787
158.222222222222,-3.03666005987772
158.444444444444,-3.00019211185306
158.666666666667,-2.96449107897536
158.888888888889,-2.92953564011416
159.111111111111,-2.89530520253637
159.333333333333,-2.86177987241835
159.555555555556,-2.82894042674972
159.777777777778,-2.79676828655251
160,-2.76524549134446
160.222222222222,-2.73435467477952
160.444444444444,-2.70407904140294
160.666666666667,-2.67440234446202
160.888888888889,-2.64530886471726
161.111111111111,-2.61678339020205
161.333333333333,-2.58881119688192
161.555555555556,-2.56137803016758
161.777777777778,-2.53447008723829
162,-2.50807400013503
162.222222222222,-2.48217681958486
162.444444444444,-2.45676599952045
162.666666666667,-2.43182938226044
162.888888888889,-2.40735518431852
163.111111111111,-2.38333198281074
163.333333333333,-2.35974870243221
163.555555555556,-2.33659460297602
163.777777777778,-2.31385926736876
164,-2.29153259019812
164.222222222222,-2.26960476670964
164.444444444444,-2.24806628225082
164.666666666667,-2.22690790214182
164.888888888889,-2.20612066195321
165.111111111111,-2.18569585817226
165.333333333333,-2.16562503923999
165.555555555556,-2.14589999694248
165.777777777778,-2.12651275814037
166,-2.10745557682167
166.222222222222,-2.08872092646336
166.444444444444,-2.07030149268839
166.666666666667,-2.05219016620504
166.888888888889,-2.03438003601635
167.111111111111,-2.016864382888
167.333333333333,-1.99963667306342
167.555555555556,-1.98269055221567
167.777777777778,-1.96601983962587
168,-1.94961852257873
168.222222222222,-1.93348075096592
168.444444444444,-1.9176008320886
168.666666666667,-1.90197322565093
168.888888888889,-1.88659253893642
169.111111111111,-1.87145352215972
169.333333333333,-1.85655106398675
169.555555555556,-1.84188018721595
169.777777777778,-1.82743604461453
170,-1.81321391490312
170.222222222222,-1.799209198883
170.444444444444,-1.78541741570023
170.666666666667,-1.77183419924107
170.888888888889,-1.75845529465369
171.111111111111,-1.74527655499094
171.333333333333,-1.73229393796974
171.555555555556,-1.71950350284215
171.777777777778,-1.70690140737414
172,-1.69448390492762
172.222222222222,-1.68224734164188
172.444444444444,-1.67018815371056
172.666666666667,-1.65830286475061
172.888888888889,-1.64658808325955
173.111111111111,-1.63504050015789
173.333333333333,-1.62365688641331
173.555555555556,-1.61243409074373
173.777777777778,-1.60136903739612
174,-1.59045872399838
174.222222222222,-1.5797002194815
174.444444444444,-1.56909066206946
174.666666666667,-1.55862725733436
174.888888888889,-1.54830727631431
175.111111111111,-1.53812805369202
175.333333333333,-1.52808698603158
175.555555555556,-1.51818153007164
175.777777777778,-1.50840920107269
176,-1.49876757121672
176.222222222222,-1.4892542680572
176.444444444444,-1.47986697301778
176.666666666667,-1.47060341993785
176.888888888889,-1.46146139366331
177.111111111111,-1.45243872868113
177.333333333333,-1.44353330779591
177.555555555556,-1.43474306084719
177.777777777778,-1.42606596346599
178,-1.41750003586932
178.222222222222,-1.40904334169119
178.444444444444,-1.40069398684904
178.666666666667,-1.3924501184443
178.888888888889,-1.38430992369594
179.111111111111,-1.37627162890583
179.333333333333,-1.36833349845497
179.555555555556,-1.36049383382946
179.777777777778,-1.35275097267514
180,-1.34510328788017
180.222222222222,-1.33754918668441
180.444444444444,-1.33008710981478
180.666666666667,-1.32271553064577
180.888888888889,-1.31543295438432
181.111111111111,-1.30823791727812
181.333333333333,-1.30112898584668
181.555555555556,-1.29410475613449
181.777777777778,-1.28716385298533
182,-1.28030492933735
182.222222222222,-1.27352666553798
182.444444444444,-1.26682776867825
182.666666666667,-1.26020697194568
182.888888888889,-1.25366303399543
183.111111111111,-1.24719473833884
183.333333333333,-1.24080089274906
183.555555555556,-1.23448032868304
183.777777777778,-1.22823190071951
184,-1.22205448601236
184.222222222222,-1.215946983759
184.444444444444,-1.2099083146832
184.666666666667,-1.20393742053198
184.888888888889,-1.19803326358611
185.111111111111,-1.19219482618382
185.333333333333,-1.18642111025729
185.555555555556,-1.18071113688159
185.777777777778,-1.17506394583554
186,-1.1694785951744
186.222222222222,-1.16395416081375
186.444444444444,-1.15848973612439
186.666666666667,-1.15308443153791
186.888888888889,-1.14773737416254
187.111111111111,-1.14244770740912
187.333333333333,-1.13721459062669
187.555555555556,-1.1320371987476
187.777777777778,-1.12691472194176
188,-1.1218463652798
188.222222222222,-1.11683134840486
188.444444444444,-1.11186890521277
188.666666666667,-1.10695828354038
188.888888888889,-1.10209874486181
189.111111111111,-1.09728956399234
189.333333333333,-1.09253002879988
189.555555555556,-1.08781943992348
189.777777777778,-1.08315711049912
190,-1.07854236589221
190.222222222222,-1.07397454343673
190.444444444444,-1.06945299218091
190.666666666667,-1.06497707263913
190.888888888889,-1.06054615654997
191.111111111111,-1.05615962664016
191.333333333333,-1.05181687639432
191.555555555556,-1.04751730983028
191.777777777778,-1.04326034127995
192,-1.03904539517537
192.222222222222,-1.03487190583998
192.444444444444,-1.03073931728493
192.666666666667,-1.02664708301026
192.888888888889,-1.0225946658108
193.111111111111,-1.01858153758668
193.333333333333,-1.01460717915844
193.555555555556,-1.01067108008639
193.777777777778,-1.00677273849428
194,-1.00291166089715
194.222222222222,-0.999087362033151
194.444444444444,-0.9952993646993
194.666666666667,-0.991547199591124
194.888888888889,-0.987830405145958
195.111111111111,-0.984148527389868
195.333333333333,-0.98050111978815
195.555555555556,-0.976887743099216
195.777777777778,-0.973307965231875
196,-0.969761361105807
196.222222222222,-0.966247512515291
196.444444444444,-0.962766007995968
196.666666666667,-0.959316442694631
196.888888888889,-0.955898418241983
197.111111111111,-0.952511542628205
197.333333333333,-0.94915543008135
197.555555555556,-0.945829700948446
197.777777777778,-0.942533981579242
198,-0.939267904212532
198.222222222222,-0.936031106865011
198.444444444444,-0.932823233222565
198.666666666667,-0.929643932533981
198.888888888889,-0.926492859506948
199.111111111111,-0.923369674206383
199.333333333333,-0.920274041954916
199.555555555556,-0.917205633235604
199.777777777778,-0.914164123596692
200,-0.911149193558483
