"Freq [GHz]","dB(ActiveS(1:1)) [] - largo_parche='10mm'","dB(ActiveS(1:1)) [] - largo_parche='11mm'","dB(ActiveS(1:1)) [] - largo_parche='12mm'","dB(ActiveS(1:1)) [] - largo_parche='13mm'","dB(ActiveS(1:1)) [] - largo_parche='14mm'","dB(ActiveS(1:1)) [] - largo_parche='15mm'","dB(ActiveS(1:1)) [] - largo_parche='16mm'","dB(ActiveS(1:1)) [] - largo_parche='20mm'","dB(ActiveS(1:1)) [] - largo_parche='30mm'","dB(ActiveS(1:1)) [] - largo_parche='40mm'","dB(ActiveS(1:1)) [] - largo_parche='42.46mm'","dB(ActiveS(1:1)) [] - largo_parche='50mm'","dB(ActiveS(1:1)) [] - largo_parche='60mm'"
1,-0.459231147878237,-0.959832695463586,-1.6631768634074,-1.52494295801077,-1.33294685026078,-1.59326043621366,,-1.46064581658903,-1.98686053112127,-0.686649769468283,-1.79043614558677,-1.12191975060182,-2.00525519706111
1.01,-0.405807239607689,-0.812995892382354,-1.36068836659562,-1.72506893064656,-1.10807867409077,-1.30797081231831,,-1.20829411159353,-1.64048831850544,-0.595444125336464,-1.52634376165426,-0.957049929901065,-1.709179025039
1.02,-0.361627720647288,-0.697330420912788,-1.13007259410538,-1.94018931723927,-0.933774703220327,-1.0893593230186,,-1.01374806677899,-1.36950181872902,-0.521455671007835,-1.30903459604463,-0.824759492314647,-1.46322875219721
1.03,-0.324714521995183,-0.605109457596074,-0.951780285552826,-2.16056085222352,-0.796791346570136,-0.919596479390447,,-0.861257937942012,-1.15628396630307,-0.460709190197179,-1.13059370406318,-0.717514476722909,-1.26038495458459
1.04,-0.293584539478872,-0.530033630217041,-0.811938249113047,-2.37031105123649,-0.687669243652819,-0.785927811777004,,-0.74016334077989,-0.987410172776424,-0.41029053037298,-0.983757189824828,-0.629688921446545,-1.09324642860738
1.05,-0.265662313080219,-0.46867224545295,-0.70071015652446,-2.54802401458859,-0.599619567165004,-0.679250258595021,,-0.642775989446812,-0.851270490492146,-0.368028971552599,-0.862370210054208,-0.557056378827005,-0.955154932837338
1.06,-0.244423723500222,-0.417631336519686,-0.61107066380315,-2.67036281758532,-0.52772119553536,-0.593023976700783,,-0.563916545557171,-0.741245812841527,-0.332286490727123,-0.761362638648372,-0.49643229674911,-0.840525748277249
1.07,-0.224848396446145,-0.375251521051863,-0.537945784238642,-2.71870373715933,-0.468363643280534,-0.522500814178775,,-0.498297189880403,-0.650293120196909,-0.301810787104748,-0.676776803335726,-0.445389052760518,-0.74483791463731
1.08,-0.209297539669973,-0.338549902432102,-0.477623985187214,-2.68601470411495,-0.418864806402227,-0.464191792766382,,-0.444051125771959,-0.578656607758924,-0.275632927894079,-0.605488984241543,-0.402062681505957,-0.664507685226807
1.09,-0.19103874696148,-0.308683145250391,-0.427354278854164,-2.57964982998887,-0.377204680108835,-0.415498064745386,,-0.398543534856874,-0.514388709333391,-0.252993852345341,-0.544949188629521,-0.365010697623195,-0.596754433893028
1.1,-0.180893946269062,-0.282367728596321,-0.385070934944846,-2.4180645034355,-0.341848278240883,-0.374464636448171,,-0.360032150501882,-0.461997626545844,-0.233294663898908,-0.493216655374034,-0.33311012046945,-0.539534444850502
1.11,-0.168491870406054,-0.259761576429071,-0.349203180449092,-2.22389706727106,-0.311610543111448,-0.339597698574709,,-0.327130318272833,-0.41752342727207,-0.216056292287012,-0.448754498422578,-0.305476059536817,-0.491667147506507
1.12,-0.161168361440126,-0.238914473129364,-0.318542273574219,-2.0176858962254,-0.285569418917278,-0.309745631642416,,-0.298878496861612,-0.378491135931806,-0.200893277463774,-0.410261622186733,-0.281371584467917,-0.45318762715666
1.13,-0.149269868695421,-0.22374274632476,-0.292147692265022,-1.81461658870732,-0.262998798407144,-0.284009600928909,,-0.274438184361246,-0.346746179888813,-0.187491789958603,-0.376795591960615,-0.26025235368955,-0.421456756234899
1.14,-0.14201438176858,-0.20758636633624,-0.269279804958351,-1.62410490234917,-0.243321376858962,-0.261680897102516,,-0.253166087221068,-0.318374924479485,-0.175595942719764,-0.347511980978257,-0.241649067480544,-0.385218320168978
1.15,-0.134238049030515,-0.194703869561862,-0.24935114653301,-1.45089354749553,-0.226074497239067,-0.242195858652926,,-0.2345493892433,-0.294124218913449,-0.164994067697588,-0.321776074881016,-0.225184196819757,-0.351740144521316
1.16,-0.12747983690954,-0.182713267770296,-0.231891014882646,-1.29653101113878,-0.210883068314352,-0.225100951617642,,-0.218171874532072,-0.271979729583991,-0.155510654547976,-0.299044141783058,-0.21055148132409,-0.324227862360926
1.17,-0.121455938954262,-0.172043743645028,-0.21651890488269,-1.16064788882876,-0.197444586691506,-0.210032232062326,,-0.203695393451925,-0.253127192534232,-0.146999058539042,-0.278882887307722,-0.197494238315962,-0.300851351658564
1.18,-0.11767911775512,-0.162519568361081,-0.202924740466413,-1.04187047577975,-0.185505734983393,-0.196687722880212,,-0.190806531424739,-0.236028826281777,-0.139336110147032,-0.260929890105811,-0.185800376628295,-0.280481516705296
1.19,-0.112153337272149,-0.15446690117356,-0.190854111247168,-0.93840180801727,-0.174860122864132,-0.184822265237017,,-0.179348855191036,-0.221738293192406,-0.132417657824366,-0.244882907980234,-0.175292679829628,-0.262491805785124
1.2,-0.107160127727855,-0.146278388376068,-0.180096674686134,-0.848356814809077,-0.165335625905454,-0.174232565476555,,-0.169152700377642,-0.207929286244953,-0.126155468971366,-0.230483673021502,-0.165824695048695,-0.246475049475869
1.21,-0.103407078160795,-0.139424308040718,-0.170477501551071,-0.769940619762835,-0.156788132540184,-0.164749257450965,,-0.159958608579131,-0.195771670678215,-0.120474039767391,-0.217527304865264,-0.157275100779053,-0.232133788152176
1.22,-0.100207008608715,-0.133229149032927,-0.161850201424926,-0.701529044051947,-0.149095545203525,-0.1562296062933,,-0.151682796545629,-0.184944177114272,-0.115308866700146,-0.205831910566233,-0.149543886454057,-0.219235657224028
1.23,-0.0964137039045817,-0.127621657404581,-0.154091601369007,-0.641695581771661,-0.142155393595942,-0.148554203162527,,-0.144211228015208,-0.175352936930657,-0.110604557433622,-0.195235844709635,-0.142572084580067,-0.207592308773689
1.24,-0.0935939631460074,-0.122500199442213,-0.147097536064084,-0.589209466946481,-0.135880437044406,-0.141621782513911,,-0.13742608899812,-0.167040653302092,-0.106312763304921,-0.1856230640171,-0.136328502837598,-0.197047583305471
1.25,-0.0908284953898906,-0.118240038176104,-0.140779472163984,-0.543019762975996,-0.130196017508285,-0.135345994113448,,-0.13131035951957,-0.158715138151236,-0.10239212093021,-0.176877763487099,-0.130622850585462,-0.187470146302601
1.26,-0.0886993129286403,-0.113546700937061,-0.135061872800555,-0.502235624144776,-0.125037900282704,-0.129652787540717,,-0.125057443819811,-0.15168135989047,-0.0988065532180306,-0.168900659784401,-0.12506892330053,-0.178748481292051
1.27,-0.08623290635224,-0.110184544638776,-0.129880006560713,-0.466100833673408,-0.120351946784408,-0.124479762487596,,-0.12075769712363,-0.145059797602149,-0.0955243997179051,-0.161607970073475,-0.11993285037241,-0.170787186875462
1.28,-0.0845232623140102,-0.106158265668583,-0.125178200235825,-0.433977554660218,-0.116089814643107,-0.119771507276632,,-0.116017509435311,-0.139143819649693,-0.0925187788052879,-0.154930975821632,-0.115300929097288,-0.163504082401135
1.29,-0.082725951256435,-0.103393755252395,-0.120908440563368,-0.40532770226049,-0.112210497720742,-0.115480982039267,,-0.111780611257345,-0.133763858546567,-0.0897651593514891,-0.148809508931288,-0.111078250132701,-0.156828105583455
1.3,-0.0811469537059432,-0.100407687885355,-0.11702919622083,-0.379694007719621,-0.108678996753385,-0.111567993233179,,-0.107819196209164,-0.128629247623219,-0.0872425040815277,-0.143178830462536,-0.10721298634683,-0.150697543394089
1.31,-0.0795397130192472,-0.0977160912034414,-0.113504463303102,-0.35668856775622,-0.1054637329397,-0.107996413635125,,-0.104374160573296,-0.124376996659695,-0.0849370913439301,-0.138008686520578,-0.103659705083297,-0.145058440417147
1.32,-0.0783059531813712,-0.0952662368575574,-0.110302981277874,-0.335981620494973,-0.102538031588633,-0.104735596313585,,-0.101065225032041,-0.120446917765107,-0.0828200067198682,-0.133244145881902,-0.100386715151095,-0.139863674018279
1.33,-0.0771062829140733,-0.0930817715649611,-0.107397584200672,-0.317291413109303,-0.0998783791845288,-0.101758500625374,,-0.0981369892016891,-0.116496294065374,-0.08088946145631,-0.128849784112189,-0.097368130634146,-0.135071782733459
1.34,-0.0762714406882904,-0.0911004573650852,-0.104764635167228,-0.300377544245845,-0.0974643350177199,-0.0990415283056048,,-0.0954282818842682,-0.11325108728825,-0.0791295149095052,-0.12479997586982,-0.0945845829732797,-0.130646254616607
1.35,-0.075863646884413,-0.0893547364597729,-0.102383816630385,-0.285033049227542,-0.0952781712096902,-0.0965640922802175,,-0.0929282659878279,-0.109760415712001,-0.077529607765466,-0.1210582802701,-0.0920094642692718,-0.126554850940284
1.36,-0.0745795736124655,-0.0876955323811509,-0.100236638378891,-0.271080021210166,-0.093304532376584,-0.094308214509196,,-0.0908034395010697,-0.107155625113057,-0.0760802893326189,-0.11760393169528,-0.0896338079513055,-0.122769005782147
1.37,-0.0741190848689341,-0.0862310486708816,-0.0983083747258736,-0.258364714014464,-0.0915300471776855,-0.0922580809305814,,-0.0885683325706973,-0.104522852404888,-0.0747741013021816,-0.114410943214344,-0.0874411370009771,-0.119263373818288
1.38,-0.0736357219596077,-0.0849492884902448,-0.0965855282977698,-0.246754016851533,-0.0899434712113834,-0.0904001466327291,,-0.0865722352739512,-0.102228232269637,-0.0736046097816395,-0.111463381494444,-0.0854187571918699,-0.116015423675236
1.39,-0.0732407506624465,-0.0838185012095847,-0.0950567724793551,-0.236132182041577,-0.0885353683069535,-0.088722770338233,,-0.0848795346855511,-0.100088272530843,-0.0725672370668432,-0.108748288242218,-0.0835510707222911,-0.113005076668031
1.4,-0.072929245670564,-0.0828246941161761,-0.0937125300328049,-0.226398498529718,-0.0872973908212052,-0.087215441104888,,-0.083313606920095,-0.098191420835056,-0.0716610027535417,-0.106239387261563,-0.081833667064812,-0.11021443705262
1.41,-0.0729045651375064,-0.0819672577207021,-0.0925448528411618,-0.217464756148696,-0.0862229163987889,-0.0858693939456298,,-0.0819980804936656,-0.096496341216988,-0.0708758781490348,-0.103933824450419,-0.0802557372753497,-0.107627479216532
1.42,-0.0727999369508249,-0.0812485533755169,-0.0915472878098589,-0.209254060272711,-0.0853068699254825,-0.0846773949748345,,-0.0805832403991198,-0.0949970241032382,-0.0702200764751718,-0.101810924352385,-0.0788096303950929,-0.105229933119124
1.43,-0.0729923558575041,-0.0806615386405819,-0.0907148065900749,-0.201698427689881,-0.0845454035607858,-0.0836333751727497,,-0.0794423066993739,-0.0937054151121891,-0.0696927878458552,-0.0998709946978631,-0.0774887285385629,-0.103009002381888
1.44,-0.0732337944871334,-0.0801968313990382,-0.0900437535385394,-0.194738470436641,-0.0839358257016849,-0.0827323162870993,,-0.0784171358497377,-0.0926006329622327,-0.0693006409371053,-0.0981028077891178,-0.0762873311136791,-0.100953260824194
1.45,-0.0734983517694185,-0.0798655486063689,-0.0895317953779884,-0.188321538971573,-0.0834770656074665,-0.0819706917976994,,-0.0775083530396462,-0.0916584373708412,-0.0690575742765562,-0.0965069380770094,-0.075200642275059,-0.0990524534302617
1.46,-0.0742190539806983,-0.0796617040092811,-0.0891779230109385,-0.182401138028156,-0.0831691001523494,-0.0813458247391319,,-0.0767172891320313,-0.0909039762206087,-0.0689801987292337,-0.0950811113007322,-0.0742246357048243,-0.0972974783765017
1.47,-0.074653228901789,-0.0796331165980254,-0.0889824563955965,-0.176936179790737,-0.0830134074430328,-0.080856302830617,,-0.0761842566408909,-0.0903440562722853,-0.0691191787489623,-0.0938488516194118,-0.0733567791939524,-0.0956801822725444
1.48,-0.0753934309956458,-0.0796328534099056,-0.0889470987705362,-0.171890284241215,-0.0830128692698866,-0.0805018151131892,,-0.0755822568857631,-0.0899722369973472,-0.0695625810135434,-0.0928469321791461,-0.0725933409100036,-0.0941933286986275
1.49,-0.0763285589457653,-0.0798064206147932,-0.0890749797457434,-0.16723113311277,-0.0831718103591399,-0.0802831162864418,,-0.0751788230562626,-0.0898419028956744,-0.0704921903522877,-0.0921858953080548,-0.0719339971501166,-0.0928305048637959
1.5,-0.0773331214893369,-0.0801288316454525,-0.0893707648661359,-0.162929893705171,-0.0834963610783362,-0.0802023157875349,,-0.0748906497020679,-0.0897099508928195,-0.0721570234027422,-0.0919820542130097,-0.0713778340345332,-0.0915860692777693
1.51,-0.0785903816603691,-0.0806941595643015,-0.089840781680581,-0.158961145183429,-0.0839944404187436,-0.0802627512576226,,-0.0747677909581778,-0.0900203831340884,-0.0740412920166428,-0.0917476225615279,-0.0709248296594161,-0.0904550805453383
1.52,-0.0799992864425183,-0.0813062026582711,-0.0904931733776936,-0.155302336769041,-0.0846760176884908,-0.0804691308166785,,-0.0746434352393954,-0.0905654562196629,-0.074128575353506,-0.0906043001338295,-0.0705761013097846,-0.0894332761317584
1.53,-0.0816082295835056,-0.0820600695526708,-0.0913381317271763,-0.151933233377911,-0.0855535803490524,-0.0808278636427687,,-0.0747824175388831,-0.0912998963698585,-0.0733245770941482,-0.0893737747541271,-0.0703337603467787,-0.0885170205455566
1.54,-0.0833941036845602,-0.0830258239816004,-0.0923881952927699,-0.148836065473814,-0.0866421424296609,-0.0813468610338876,,-0.0749861738245619,-0.092314658391563,-0.0732276860340832,-0.0885412826630298,-0.0702008532616098,-0.0877033230201634
1.55,-0.0854929203473812,-0.0841684951494692,-0.093658369536692,-0.145995034864134,-0.0879601235443449,-0.0820362215606824,,-0.0753172869931851,-0.0936412702638754,-0.0738325439440789,-0.0880224353055029,-0.0701818520269006,-0.0869896169098529
1.56,-0.0878187792861861,-0.0855099540503983,-0.0951668701505303,-0.143396435083903,-0.0895295420375798,-0.082908109402799,,-0.0758254245039409,-0.0953274844619098,-0.0749395216712341,-0.0877325845616373,-0.070283283998323,-0.086374164094552
1.57,-0.0904207596290673,-0.0870751655923059,-0.0969354056597224,-0.14102793165739,-0.0913770503001339,-0.0839774632134639,,-0.0764902072519021,-0.09740085894222,-0.0764564909637765,-0.0876302740881295,-0.070510784880898,-0.0858556025818806
1.58,-0.0933534408569197,-0.0888616047245441,-0.0989898608577606,-0.138878983938617,-0.0935345663827304,-0.0852621458550729,,-0.0773866121342344,-0.0999644150497015,-0.0783637728707358,-0.0877007428361418,-0.0708744484687741,-0.0854332090529178
1.59,-0.0966475683745349,-0.0909190864247504,-0.101361092517954,-0.136940462466148,-0.096040707748671,-0.0867838329398428,,-0.0782716031944478,-0.103072540476689,-0.0806863990348893,-0.0879408260052424,-0.0713850284289385,-0.0851068916194431
1.6,-0.100366057213541,-0.0932806298406001,-0.104085907721306,-0.135204569955328,-0.0989418706001939,-0.0885682827710398,-0.093211147913789,-0.0795312043512902,-0.106816792895479,-0.0834712007234311,-0.0883527030707884,-0.0720580680037855,-0.0848770186804207
1.61,-0.104547227383255,-0.0959434373449979,-0.107208292082313,-0.133664773995774,-0.102294586461129,-0.0906467386086363,-0.0954534926257301,-0.0809533884809869,-0.111400862564983,-0.0867924044722952,-0.0889471484659363,-0.0729100971197247,-0.0847447795577841
1.62,-0.109289470615265,-0.0989908341499761,-0.110781047408969,-0.132315795830247,-0.106167346115427,-0.0930566313461859,-0.0980551121387869,-0.0826226444184891,-0.116948173486522,-0.0907521071911192,-0.0897344019752432,-0.0739624451895886,-0.0847119481021996
1.63,-0.114651925910844,-0.102453265046003,-0.114867652217254,-0.131153580813477,-0.110644498209448,-0.0958433292051672,-0.101081959234578,-0.0845917963998251,-0.123708359930219,-0.0954825938423115,-0.0907315615376673,-0.0752412615573248,-0.0847810501268597
1.64,-0.120733616839493,-0.106391649861252,-0.119544967393648,-0.130175137421321,-0.115829843466708,-0.0990618841224333,-0.10455459379889,-0.0868525126678816,-0.132006338151562,-0.101160241293846,-0.0919593149359098,-0.0767790589816318,-0.0849554290365163
1.65,-0.127668514127163,-0.110892532287511,-0.124906491367363,-0.129378611379452,-0.121852420945311,-0.102779422009729,-0.108620812031654,-0.0895185597979433,-0.14232151189268,-0.108017733796548,-0.0934421320498621,-0.0786156858132058,-0.0852393254787025
1.66,-0.135615627469077,-0.116033255680642,-0.131066732571477,-0.128763409036909,-0.128874044516457,-0.107078418323109,-0.113293751780329,-0.0925909235294938,-0.155248020480393,-0.116370697874884,-0.095213272271167,-0.080801582046623,-0.0856379964443463
1.67,-0.144765938747418,-0.121922653415113,-0.138166893879172,-0.128329992156728,-0.137099540208355,-0.112060856628941,-0.11871290539573,-0.0961535144089221,-0.171702011345232,-0.126650131937774,-0.0973100915193264,-0.0833995721141901,-0.0861578472649101
1.68,-0.155373607080547,-0.128692672775997,-0.146382578051294,-0.128079995042002,-0.146790900783904,-0.117853850568233,-0.125030679373456,-0.100287379262594,-0.193014288296363,-0.139456535490425,-0.0997799182930449,-0.08648986045631,-0.0868066022560469
1.69,-0.167643131900584,-0.136514188749109,-0.155934163122489,-0.128016352532137,-0.158287612651349,-0.124617506186246,-0.132350239257549,-0.105092795362596,-0.2212150807302,-0.155646587720504,-0.102680803876232,-0.0901746064387428,-0.0875935221907936
1.7,-0.182083530001417,-0.145593434616335,-0.167100845658311,-0.128143282498241,-0.172034056421295,-0.132554657080534,-0.141036944452416,-0.110766279864129,-0.25949070345114,-0.176470018141999,-0.106084842231346,-0.0945871545627658,-0.0885296566012468
1.71,-0.199165306046702,-0.156195585982088,-0.180240332145387,-0.128466427969068,-0.188622192766588,-0.141926204536677,-0.151150413508593,-0.117365370774389,-0.313073896939535,-0.203803766392282,-0.110082956174834,-0.0999019452589576,-0.089628172373229
1.72,-0.219463518507703,-0.168660032032701,-0.195816460321375,-0.128992935956748,-0.208853734904078,-0.153072111500144,-0.163333461640348,-0.125264998808056,-0.390883866687649,-0.240561239205822,-0.114788423782191,-0.106351572159945,-0.0909047560489073
1.73,-0.244025394027817,-0.183424675471655,-0.214438781340507,-0.12973163362324,-0.233831612801053,-0.166439711355275,-0.177803878364247,-0.134595767446884,-0.508921871269569,-0.291432492433181,-0.120347346966544,-0.114250980112754,-0.0923781223646968
1.74,-0.273698101158855,-0.201067068305825,-0.23692029968276,-0.130693160837907,-0.26510699011079,-0.182628261816109,-0.195395694610744,-0.145875315498475,-0.697095268369543,-0.364290940220915,-0.126945384974561,-0.124034412262129,-0.0940706475004463
1.75,-0.310652462313662,-0.222353800815095,-0.264363395611945,-0.131890260473112,-0.304910813022356,-0.20245368447589,-0.216839588794353,-0.159515660323896,-1.01204113784026,-0.472975826745231,-0.134826234583995,-0.13631304371129,-0.0960091895419296
1.76,-0.356898486804333,-0.248337769562349,-0.29829051031636,-0.133337942808086,-0.356535179992466,-0.227048011825685,-0.24350363440457,-0.176329746054129,-1.54930001312509,-0.642973836603455,-0.14431110427469,-0.151967486510495,-0.0982261210055558
1.77,-0.41531145358622,-0.280456840293583,-0.34084791057363,-0.135053895841373,-0.424984647056556,-0.25801793766326,-0.276854226945859,-0.197154689942955,-2.35996738087148,-0.922814533338912,-0.155831000329741,-0.172300384413491,-0.10076067466686
1.78,-0.49141116722206,-0.320749610925639,-0.395131306739677,-0.137058767828896,-0.518108730300196,-0.297693167896093,-0.319718104622094,-0.223603759233197,-2.96993784783784,-1.40223477191212,-0.169973643500686,-0.199297385696513,-0.103660688548724
1.79,-0.592066926924982,-0.372115259396947,-0.46572371626912,-0.13937670388623,-0.648689071332517,-0.349554033677695,-0.375515519088421,-0.257582565720258,-2.55292087949514,-2.19867162285172,-0.18755659148895,-0.236089949763852,-0.106984913671421
1.8,-0.729209289927796,-0.439001441946086,-0.559608222882089,-0.142035844513091,-0.838348456211793,-0.418953638514715,-0.449921222220161,-0.302196875259133,-1.72428186939707,-3.15093134887413,-0.209743122220468,-0.287811838988542,-0.110806075130262
1.81,-0.921310020168716,-0.527917385247895,-0.687774866165445,-0.145069030534528,-1.12509268662174,-0.514415313294701,-0.551949830713404,-0.362282206332842,-1.13470572215778,-3.23757189575067,-0.238226315935336,-0.363244652984296,-0.115214998604307
1.82,-1.19985293117697,-0.649292217070115,-0.868143238164393,-0.148514604361506,-1.5775562205311,-0.650039346293141,-0.696202004255492,-0.445457979688402,-0.78915439016505,-2.33146290171319,-0.275545499197281,-0.478089530038813,-0.120326240218892
1.83,-1.61764017353725,-0.820070892869375,-1.13104068819781,-0.152417414067694,-2.31735251406833,-0.850106063765795,-0.908299008617581,-0.564808652468017,-0.588312922879309,-1.49857283863427,-0.325627505608571,-0.661484036662726,-0.126285876365445
1.84,-2.26928936927481,-1.06878435376702,-1.52961735496045,-0.156830040426186,-3.51822678710956,-1.15802658521493,-1.23366077178932,-0.742844563751242,-0.468591415803265,-0.987115786403515,-0.394772933944833,-0.967469200907486,-0.133282442451301
1.85,-3.3084208856193,-1.44497820587984,-2.15890931936357,-0.161814317531627,-5.13707327346479,-1.65292148848523,-1.75728019341486,-1.02091871893488,-0.396516140421187,-0.68811932098875,-0.493511723359999,-1.48104761209082,-0.141562566447273
1.86,-4.90637037902923,-2.03569589405643,-3.18280047701878,-0.167443231434877,-5.90119921009654,-2.47134152227589,-2.63457724442874,-1.47495591007601,-0.355005643991648,-0.507003558126734,-0.640244797563755,-2.21873106311837,-0.151453732645721
1.87,-6.78567100094141,-2.98440128280355,-4.81128870996851,-0.173803261117346,-4.68774517278463,-3.76701169494265,-4.10185658462421,-2.23720861061392,-0.335535250046418,-0.391645140565293,-0.868633622894276,-2.69468953467913,-0.16339802788189
1.88,-7.10848833107519,-4.44493415767346,-6.81624445722495,-0.1809973748728,-3.1348796722243,-5.22463295350608,-6.09168979472267,-3.43767173880888,-0.334808374660609,-0.31461428388842,-1.24230992860169,-2.26519224504055,-0.178003482500076
1.89,-5.39307679636754,-6.10742221062673,-7.17414306291836,-0.189148783450948,-2.07878002100031,-5.2578185225909,-6.69184135746184,-4.64722217333709,-0.353439353576666,-0.261044811902804,-1.878680854928,-1.52748603882787,-0.196123884423422
1.9,-3.65835735588038,-6.30271813110386,-5.31911093198111,-0.198405786259678,-1.43477882381186,-3.81700034410957,-4.92275865841073,-4.40047991314,-0.396278833434254,-0.22250904991235,-2.93740192972229,-1.00260485140015,-0.218986530432281
1.91,-2.49575453857036,-4.74389698421789,-3.53105240781669,-0.208947970519439,-1.03757484966886,-2.50707371670583,-3.17659222591531,-3.07570487037445,-0.474508763989337,-0.193996327427122,-4.24473543227377,-0.688141592356562,-0.248402790281288
1.92,-1.7637792735596,-3.2007916870598,-2.37464239440338,-0.220994229232431,-0.782753118135508,-1.67603919925551,-2.08594090582466,-1.99655752631616,-0.610301304408834,-0.172404507143654,-4.42678089815556,-0.499485159691113,-0.287127083561635
1.93,-1.30038491225058,-2.17475594756997,-1.66533081212004,-0.234813691457124,-0.61218694488422,-1.17350087956504,-1.43979018094968,-1.33442036758896,-0.844172603743916,-0.15573754598721,-3.20900147230587,-0.381415208502469,-0.339491365275429
1.94,-0.99361185593693,-1.53543339539122,-1.22009897115073,-0.250739389340631,-0.493506620755766,-0.86114984657405,-1.0444448884926,-0.938321348013996,-1.23090541320121,-0.142669936017112,-2.07277617449888,-0.303975401657342,-0.412570015579593
1.95,-0.783591708734798,-1.13012825617079,-0.929348036438208,-0.269187496258376,-0.40810112416488,-0.658459322427378,-0.791276280546018,-0.693019456209761,-1.73509520430361,-0.13229505709988,-1.37051978875501,-0.250993913354021,-0.518399277443626
1.96,-0.634861686340944,-0.863857965005504,-0.731716699385773,-0.290683104353481,-0.344845226388137,-0.521227953732059,-0.621441083146557,-0.533736536635173,-1.95617637123185,-0.123977244145393,-0.957647021289898,-0.213423412979412,-0.678319296797949
1.97,-0.526387936827723,-0.682114244973035,-0.592433758369237,-0.315895273326211,-0.296828967604922,-0.424751145988327,-0.503232123919108,-0.425944470721611,-1.59347400287308,-0.117261376891005,-0.706573083653055,-0.185974929892672,-0.931366721492749
1.98,-0.445155877453075,-0.553616911588569,-0.491135871864839,-0.345687152463473,-0.259606846444545,-0.354696613548885,-0.417680051694636,-0.349860257935703,-1.09686009966612,-0.111815053382713,-0.546264378511663,-0.1654217039841,-1.34800539517797
1.99,-0.382949881751108,-0.459915052255637,-0.415445361798447,-0.38118585487074,-0.230227090605225,-0.302408049763185,-0.354205355249109,-0.294568224674957,-0.74856236829853,-0.10739182737295,-0.439071886180953,-0.149718752797335,-2.03197774558297
